week_start_date,comp_week_of_ly
1/11/2026,1/12/2025
1/4/2026,1/5/2025
12/28/2025,12/29/2024
12/21/2025,12/22/2024
12/14/2025,12/15/2024
12/7/2025,12/8/2024
11/30/2025,12/1/2024
11/23/2025,11/24/2024
11/16/2025,11/17/2024
11/9/2025,11/10/2024
11/2/2025,11/3/2024
10/26/2025,10/27/2024
10/19/2025,10/20/2024
10/12/2025,10/13/2024
10/5/2025,10/6/2024
9/28/2025,9/29/2024
9/21/2025,9/22/2024
9/14/2025,9/15/2024
9/7/2025,9/8/2024
8/31/2025,9/1/2024
8/24/2025,8/25/2024
8/17/2025,8/18/2024
8/10/2025,8/11/2024
8/3/2025,8/4/2024
7/27/2025,7/28/2024
7/20/2025,7/21/2024
7/13/2025,7/14/2024
7/6/2025,7/7/2024
6/29/2025,6/30/2024
6/22/2025,6/23/2024
6/15/2025,6/16/2024
6/8/2025,6/9/2024
6/1/2025,6/2/2024
